labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
0,22104,24676,door,d,n,MOT,door
1,27155,28262,beast,i,y,MOT,beast
2,28263,28263,%com: referring to dog,NA,NA,NA,NA
3,51775,54831,road,d,n,MOT,road
4,71131,76359,light,i,y,MOT,NA
5,124775,127077,blocks,d,y,MOT,block
6,124780,126486,bucket,d,y,MOT,bucket
7,143147,145874,balls,q,y,MOT,ball
8,151623,153854,balls,q,y,MOT,ball
9,260998,265090,balls,d,n,MOT,ball
10,281011,284172,balls,q,n,MOT,ball
11,373251,374885,bottle,d,n,MOT,bottle
12,374886,376554,water,d,n,MOT,water
13,381228,386335,bottle,d,y,MOT,bottle
14,381228,386335,water,d,n,MOT,water
15,407759,409109,bottle,q,y,MOT,bottle
16,427821,430734,scoop,n,y,MOT,scoop
17,430735,430735,%com: scoop refers to spoon,NA,NA,NA,NA
18,434253,436329,scoop,d,y,MOT,scoop
19,436330,440922,tummy,d,n,MOT,tummy
20,521193,525625,sock,d,y,MOT,sock
21,521193,525626,sock,d,y,MOT,sock
22,565182,567988,shoes,d,n,MOT,shoe
23,632887,635986,camera,d,y,MOT,camera
24,753661,755520,car,q,n,MOT,car
25,757440,760881,car,d,n,MOT,car
26,786767,791571,aeroplane,q,n,MOT,aeroplane
27,1044739,1047875,mouse,s,n,MOT,mouse
28,1047876,1050417,mouse,s,n,MOT,mouse
29,1050418,1053272,mouse,s,n,MOT,mouse
30,1060327,1063488,mouse,s,n,MOT,mouse
31,1063489,1065871,mouse,s,n,MOT,mouse
32,1065872,1068342,mouse,s,n,MOT,mouse
33,1071323,1074050,mouse,s,n,MOT,mouse
34,1074051,1076633,mouse,s,n,MOT,mouse
35,1076634,1078754,mouse,s,n,MOT,mouse
36,1081044,1082996,mouse,s,n,MOT,mouse
37,1082997,1085549,mouse,s,n,MOT,mouse
38,1085550,1088391,mouse,s,n,MOT,mouse
39,1098494,1101283,mouse,s,n,MOT,mouse
40,1101284,1103738,mouse,s,n,MOT,mouse
41,1103739,1106244,mouse,s,n,MOT,mouse
42,1121884,1122932,mouse,s,n,MOT,mouse
43,1122933,1125242,mouse,s,n,MOT,mouse
44,1125243,1127249,mouse,s,n,MOT,mouse
45,1135679,1138654,mouse,s,n,MOT,mouse
46,1138655,1141040,mouse,s,n,MOT,mouse
47,1141041,1143465,mouse,s,n,MOT,mouse
48,1153537,1155949,mouse,s,n,MOT,mouse
49,1155950,1158320,mouse,s,n,MOT,mouse
50,1158321,1160693,mouse,s,n,MOT,mouse
51,1182653,1184792,mouse,s,n,MOT,mouse
52,1184793,1186959,mouse,s,n,MOT,mouse
