tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*CXN,A,r,y,TOY,35874340_35875280,A
*SIL,A,r,y,TOY,35875280_35876080,A
*TVF,A,r,y,TOY,35876080_35877150,A
*CXN,A,r,y,TOY,35879720_35880520,A
*OLN,A,r,y,TOY,35884600_35887380,A
*OLN,A,r,y,TOY,35884600_35887380,A
*OLN,A,r,y,TOY,35884600_35887380,A
*TVN,A,r,y,TOY,36049260_36053460,A
*MAN,alligator,r,y,TOY,35883600_35884600,alligator
*OLF,alligator,n,y,TOY,35890070_35891040,alligator
*OLN,alligator,n,y,TOY,35893970_35894800,alligator
*TVF,alligator,n,y,TOY,35895800_35896830,alligator
*OLN,alligator,n,y,TOY,35899740_35902440,alligator
*MAF,alligator,n,y,TOY,35902440_35903580,alligator
*TVN,alligator,n,y,TOY,35905790_35906590,alligator
*MAN,alligator,i,y,FAT,35907600_35909870,alligator
*TVN,alligator,n,y,TOY,35911690_35912760,alligator
*OLF,alligator,s,n,FAT,45218730_45223330,alligator
*FAN,animal,d,y,TOY,8449640_8450240,NA
*MAN,animal,d,y,FAT,8452300_8454750,NA
*MAN,animal,q,n,FAT,8506320_8508030,NA
*MAN,animal,q,y,FAT,8635620_8637050,NA
*FAN,animal,d,y,TOY,8741850_8743570,NA
*FAN,animal,q,y,MOT,45091970_45093000,NA
*MAN,anteater,n,n,MOT,45223330_45224660,anteater
*TVN,antelope,s,n,FAT,33245310_33246320,antelope
*OLF,antelope,s,n,FAT,33283680_33285480,antelope
*FAN,antelope,s,n,FAT,36193330_36196740,antelope
*MAN,apple,s,n,FAT,45216490_45218730,apple
*MAN,apple+slices,r,y,FAT,36480520_36482940,apple
*FAN,arm,q,y,MOT,37288640_37289920,arm
*MAN,armadillo,s,n,FAT,45223330_45224660,armadillo
*OLN,arms,s,n,MOT,38582530_38583940,arm
*CHN,arms,s,n,MOT,38672800_38673600,arm
*CHN,Aunt+Annie,n,y,TOY,35892040_35892620,Aunt+Annie
*TVN,Aunt+Annie,n,y,TOY,35894800_35895800,Aunt+Annie
*TVN,B,r,y,TOY,35920530_35921740,B
*CXN,B,r,y,TOY,35921740_35922980,B
*TVN,B,r,y,TOY,35922980_35924160,B
*TVN,B,q,y,FAT,35924960_35926560,B
*TVN,B,r,y,TOY,35957590_35959430,B
*TVN,B,r,y,TOY,35957590_35959430,B
*TVN,B,r,y,TOY,35961300_35962650,B
*TVN,B,r,y,TOY,35962650_35966270,B
*TVN,B,r,y,TOY,35962650_35966270,B
*TVF,B,n,y,TOY,36017480_36018280,B
*CXN,B,n,y,TOY,36019330_36020130,B
*TVN,B,r,y,TOY,36049260_36053460,B
*FAN,babies,r,y,MOT,5578040_5579350,baby
