tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,arms,n,y,FAT,3680050_3681150,arm
*OLN,bag,d,n,MOT,37990450_37993880,bag
*OLN,bag,d,n,MOT,37990450_37993880,bag
*FAF,bag,d,y,MOT,33107340_33108580,bag
*MAN,bags,d,n,FAT,8992290_8993460,bag
*MAN,bags,d,n,FAT,9002090_9003090,bag
*MAN,ball,d,n,GRP,42664640_42666070,ball
*MAN,banana,d,y,FAT,4411900_4415840,banana
*CXN,banana,d,y,SIS,4403420_4405990,banana
*CXN,banana,d,y,SIS,4408590_4409420,banana
*MAN,banana+chunk,q,y,FAT,4293450_4295480,banana
*FAN,barbeque,d,n,MOT,38388490_38390210,NA
*MAN,barbeque,n,n,MOT,38380660_38382360,NA
*OLN,basket,d,y,MOT,7566780_7569220,basket
*OLN,basket,d,y,MOT,7570410_7572580,basket
*OLN,basket,q,y,MOT,7573390_7575140,basket
*FAN,bathing+suits,d,n,MOT,8385670_8387270,bathing+suit
*MAN,bed,d,n,FAT,41382240_41383520,bed
*OLN,bib,d,y,SIS,3672330_3673130,bib
*MAN,blueberries,i,y,FAT,9153210_9154580,blueberry
*OLN,blueberries,q,n,MOT,7797250_7800080,blueberry
*OLF,blueberries,q,n,MOT,7806230_7807030,blueberry
*FAN,blueberries,q,n,MOT,7840230_7841550,blueberry
*FAN,blueberries,d,y,MOT,8285640_8286640,blueberry
*MAN,blueberries,n,y,MOT,7843440_7844680,blueberry
*OLN,blueberries,q,y,MOT,7953000_7953800,blueberry
*FAN,blueberries,q,y,MOT,8136960_8137970,blueberry
*FAN,blueberries,q,y,MOT,8277430_8279610,blueberry
*OLN,blueberry,q,y,MOT,8426950_8430140,blueberry
*FAN,bluebs,q,y,MOT,7873320_7874320,blueberry
*MAN,body+parts,d,n,GRP,42620980_42622060,NA
*FAN,book,d,y,MOT,32678290_32680650,book
*MAN,bottom,d,n,FAT,40935320_40937870,NA
*MAN,bottom,d,n,MOT,40739590_40740790,NA
*OLN,bottom,d,n,MOT,40970730_40973160,NA
*OLN,bowl,d,n,MOT,41239610_41249770,bowl
*MAN,brakes,d,n,FAT,42867660_42869160,NA
*FAN,bread,d,n,MOT,40388510_40389510,bread
*FAN,bread,q,n,MOT,40518690_40519690,bread
