tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,almond+milk,q,n,MOT,2943320_2945500,milk
*CXN,almond+milk,n,n,SIS,2946470_2947270,milk
*FAN,almond+milk,n,n,MOT,2948070_2949070,milk
*CXN,animal,d,y,SIS,3878490_3882280,NA
*FAN,animal,q,n,MOT,3882280_3883340,NA
*FAN,animal,q,n,SIS,3888870_3889870,NA
*MAN,animal,q,y,FAT,6493440_6494710,NA
*FAN,animals,q,n,MOT,3884680_3885980,NA
*TVN,animals,s,u,TVN,8908110_8912070,NA
*TVN,animals,s,u,TVN,8915620_8916660,NA
*TVN,antenna,s,u,TVN,8877150_8882670,antenna
*TVN,antenna,s,u,TVN,8886960_8887970,antenna
*FAN,apple+puree,d,n,MOT,1983630_1987370,puree
*FAN,applesauce,d,n,MOT,1964430_1965810,applesauce
*FAN,Aquaphor,q,y,MOT,27306140_27307570,Aquaphor
*FAN,arm,d,y,MOT,21965350_21968700,arm
*NOF,arm,d,n,MOT,25120830_25122330,arm
*FAN,babies,d,n,MOT,2430010_2434110,baby
*CXN,back,i,n,MOT,24147480_24148080,back
*MAN,backpack,q,n,FAT,23241980_23243260,pack
*OLN,backs,d,n,MOT,3660460_3661260,back
*CXN,bag,d,n,MOT,22994600_22995930,bag
*MAN,bag,d,n,FAT,23186260_23189880,bag
*MAN,bag,d,n,FAT,23193260_23194730,bag
*FAN,bag,d,n,MOT,23202410_23203610,bag
*CHN,ball,i,y,MOT,4584880_4585660,ball
*OLN,ball,q,n,TOY,4596060_4596860,ball
*CXN,ball,d,y,MOT,4755620_4757270,ball
*CXN,ball,d,y,TOY,4759470_4760320,ball
*CXN,ball,q,y,TOY,4890830_4892790,ball
*CXN,ball,i,n,TOY,6541710_6543070,ball
*OLN,ball,i,n,TOY,6558460_6559530,ball
*CXN,ball,i,n,TOY,8648640_8649480,ball
*CXN,ball,q,n,TOY,8697810_8699260,ball
*CXN,ball,q,y,MOT,22923620_22925510,ball
*CXN,ball,i,y,MOT,22925510_22926310,ball
*OLN,ball,i,y,MOT,23257620_23259210,ball
*CXN,ball,q,y,MOT,23355020_23356250,ball
*CXN,ball,q,n,TOY,23490900_23492750,ball
*CXN,ball,q,n,TOY,23704130_23705590,ball
*OLN,ball,i,n,TOY,24362920_24365400,ball
*CXN,balls,q,n,MOT,4613740_4614780,ball
*FAN,banana,i,y,MOT,30538850_30540880,banana
*FAN,banana,d,n,MOT,30549980_30552220,banana
*FAN,bananas,q,y,MOT,30541680_30542720,banana
*FAN,bananas,d,n,MOT,30549980_30552220,banana
*FAN,barley,d,n,MOT,1975960_1976960,barley
*FAN,barley,d,n,MOT,1983630_1987370,barley
*OLN,bathing+suits,n,n,MOT,23129560_23130590,bathing+suit
*FAN,beak,d,n,MOT,2989310_2991550,beak
*FAN,bed,q,n,MOT,23036380_23038240,bed
*OLN,bed,q,n,MOT,25997460_25999320,bed
*MAN,bed,q,n,FAT,26000120_26001240,bed
*FAN,belly,d,y,MOT,3970570_3972350,belly
*FAN,bench,q,n,MOT,24808960_24810000,bench
*CXN,bib,d,n,MOT,2382600_2383400,bib
*FAN,bib,d,n,MOT,3680900_3683460,bib
*FAN,bird,d,n,MOT,2419960_2422610,bird
*FAN,bird,d,n,MOT,2425280_2429010,bird
*FAN,bird+bath,d,n,MOT,2575940_2578790,bath
*FAN,bird+feeder,d,n,MOT,3153000_3157210,feeder
*CXN,bird+feeder,d,n,MOT,22421320_22422240,feeder
*FAN,bird+seed,d,n,MOT,22438120_22439940,seed
*OLN,birdie,n,n,MOT,2588160_2592130,birdie
*FAN,birdie,d,n,MOT,2595260_2596630,birdie
*CXN,birdie,d,n,MOT,22421320_22422240,birdie
*FAN,birdie,d,n,MOT,22422840_22425240,birdie
*FAN,birdie+bath,q,n,MOT,2584380_2586060,bath
*FAN,birdies,q,n,MOT,2347350_2348400,birdie
*FAN,birds,d,n,MOT,2415830_2417560,birdie
*FAN,birds,d,n,MOT,3250440_3252820,birdie
*FAN,birds,d,n,MOT,3250440_3252820,birdie
*FAN,blanky,d,y,MOT,29146790_29148150,blanky
*OLN,blanky,q,n,MOT,29212090_29213120,blanky
*FAN,blowfish,r,y,MOT,5226110_5227260,blowfish
*FAN,blowfish,r,y,MOT,5233930_5235390,blowfish
*FAN,boogers,d,n,MOT,22805870_22806940,NA
*CXN,book,q,y,MOT,5126450_5128600,book
*NOF,book,d,y,MOT,5297110_5297930,book
*FAN,book,d,n,MOT,22504100_22504710,book
*FAN,booty,n,y,MOT,24178770_24179770,NA
*FAN,booty,n,y,MOT,24181090_24182320,NA
*FAN,booty,n,y,MOT,24181090_24182320,NA
*FAN,booty,n,y,MOT,24181090_24182320,NA
*FAN,booty,n,y,MOT,24186650_24188220,NA
*FAN,booty,n,y,MOT,24186650_24188220,NA
*FAN,booty,n,y,MOT,24186650_24188220,NA
*OLN,booty+booty,q,n,MOT,23013880_23015820,NA
*OLN,booty+booty,q,n,MOT,23018660_23019560,NA
*FAN,bottle,d,n,MOT,7959750_7960750,bottle
*FAF,bottles,d,y,MOT,29436130_29437310,bottle
*FAF,bottles,d,y,MOT,29440590_29442000,bottle
*MAF,box,q,n,FAT,22977780_22979330,box
*CXN,buggies,s,n,MOT,29768400_29770200,bug
*FAN,bugs,d,n,MOT,3244030_3245090,bug
*FAN,bugs,d,n,MOT,3250440_3252820,bug
*OLN,bugs,s,n,MOT,29764450_29765770,bug
*FAN,bugs,s,n,MOT,29765770_29766780,bug
*CXN,bugs,s,n,MOT,29768400_29770200,bug
*CXN,bugs,s,n,MOT,29770200_29771330,bug
*FAN,bunnies,d,n,MOT,3195900_3197640,bunny
*TVN,bus,s,u,TVN,8766840_8768340,bus
*TVN,bus,s,u,TVN,8773110_8774210,bus
*TVN,bus,s,u,TVN,8781360_8782710,bus
*TVN,bus,s,u,TVN,8787460_8788580,bus
*TVN,bus,s,u,TVN,8796700_8798220,bus
*TVN,bus,s,u,TVN,8801730_8804680,bus
*TVN,bus,s,u,TVN,8809910_8812150,bus
*TVN,bus,s,u,TVN,8816280_8817350,bus
*TVN,bus,s,u,TVN,8820870_8827780,bus
*TVN,bus,s,u,TVN,8830080_8831080,bus
*TVN,bus,s,u,TVN,8837340_8840260,bus
*TVN,bus,s,u,TVN,8844180_8845800,bus
*TVN,bus,s,u,TVN,8848470_8856190,bus
*TVN,bus,s,u,TVN,8859390_8860420,bus
*TVN,bus,s,u,TVN,8868370_8869540,bus
*TVN,bus,s,u,TVN,8872750_8874450,bus
*TVN,bus,s,u,TVN,8882670_8884020,bus
*TVN,bus,s,u,TVN,8887970_8889000,bus
*TVN,bus,s,u,TVN,8892280_8899340,bus
*TVN,bus,s,u,TVN,8900350_8907110,bus
*TVN,bus,s,u,TVN,8908110_8912070,bus
*TVN,bus,s,u,TVN,8916660_8917860,bus
*CXN,button,i,y,TOY,4909310_4910150,button
*OLN,button,q,y,MOT,5200570_5202790,button
*FAN,button,i,y,MOT,5272650_5275930,button
*FAN,button,i,y,MOT,5328610_5330420,button
*FAN,button,i,y,MOT,5370670_5374930,button
*OLN,button,i,y,TOY,5552840_5553650,button
*CXN,button,i,y,TOY,6869770_6872030,button
*CXN,button,i,n,TOY,22906280_22908600,button
*CXN,cake,s,n,MTV,5592680_5593890,cake
*CHN,cake,s,n,TOY,24544480_24545230,cake
*FAN,cape,d,n,MOT,25119260_25120830,cape
*MAN,car,d,n,FAT,22942620_22943890,car
*FAN,car,q,n,FAT,25849590_25851490,car
*FAN,car,d,n,MOT,25852890_25854970,car
*OLN,car,q,n,FAT,25869470_25870610,car
*CHN,car,d,n,MOT,30390180_30390830,car
*FAN,car+seat,q,n,MOT,30474700_30475780,car+seat
*FAN,cereal,n,n,MOT,1959990_1960790,cereal
*OLF,cereal,d,n,MOT,1968520_1970050,cereal
*OLF,chair,i,n,MOT,2677990_2680220,chair
*OLN,chair,d,n,MOT,2850510_2851940,chair
*OLN,chair,d,n,MOT,3068710_3069570,chair
*FAN,chair,d,n,MOT,3070380_3072100,chair
*FAN,chair,d,y,MOT,4302530_4303440,chair
*CXN,chair,q,y,MOT,24658590_24659560,chair
*FAN,chair,q,n,MOT,24826420_24827840,chair
*CXN,Charlie,n,n,MOT,3542930_3544440,Charlie
*FAN,church,d,n,MOT,23857140_23858860,church
*FAN,claws,r,y,MOT,5173740_5178940,claw
*FAN,claws,r,y,MOT,5323740_5325330,claw
*FAN,claws,r,y,MOT,5364400_5368460,claw
*FAN,claws,r,y,MOT,5394490_5400000,claw
*FAN,cloth,n,n,MOT,25430870_25431670,cloth
*FAN,clothes,d,n,MOT,2930880_2934480,clothes
*CXN,clothes,d,n,MOT,23136390_23137190,clothes
*FAN,clothes,d,n,MOT,23335680_23336850,clothes
*FAN,clothes,d,n,MOT,23595740_23597940,clothes
*OLN,clothes,d,n,MOT,23632970_23634270,clothes
*FAN,clothes,d,n,MOT,23795660_23796660,clothes
*FAN,clothes,q,n,MOT,23908870_23912210,clothes
*FAN,clothes,q,n,MOT,23908870_23912210,clothes
*FAN,clothes,d,n,MOT,25436030_25436830,clothes
*FAN,clownfish,r,y,MOT,5154880_5160160,clownfish
*FAF,computer,d,n,MOT,22981280_22982310,computer
*MAN,cooler,d,n,FAT,22964040_22966510,cooler
*FAN,cow+milk,q,n,MOT,2943320_2945500,milk
*FAN,crab,r,y,MOT,5154880_5160160,crab
*FAN,crab,r,y,MOT,5173740_5178940,crab
*FAN,crab,r,y,MOT,5220170_5222340,crab
*FAN,crab,r,y,MOT,5233930_5235390,crab
*FAN,crab,r,y,MOT,5259330_5261670,crab
*FAN,crab,r,y,MOT,5264560_5266790,crab
*CHN,crab,r,y,MOT,5272020_5272650,crab
*FAN,crab,r,y,MOT,5272650_5275930,crab
*FAN,crab,r,y,MOT,5311070_5315770,crab
*FAN,crab,r,y,MOT,5370670_5374930,crab
*OLN,Crab+The+Traveler,d,y,MOT,5130410_5131220,Crab+The+Traveler
*CXN,crib,d,n,MOT,1889280_1890520,crib
*CXN,crib,d,n,MOT,1891370_1895360,crib
*FAN,crib,d,n,MOT,25718240_25721130,crib
*FAN,crib,q,n,MOT,25995180_25997460,crib
